  x    n   (a)                   (b)
 ------------------------------------------------
 10   44    4.5399898867E-05     4.5399929762E-05
 20   72    5.5613880689E-09     2.0611536224E-09
 30  100   -3.0668166118E-05     9.3576229688E-14
 40  127   -3.1657318940E+00     4.2483542553E-18
 50  155    1.1072933383E+04     1.9287498480E-22
 60  182   -3.3516810726E+08     8.7565107627E-27
 70  209   -3.2979604675E+13     3.9754497359E-31
 80  237    9.1805682166E+16     1.8048513878E-35
 90  264   -5.0516253514E+21     8.1940126240E-40
100  291   -2.9137556469E+25     3.7200759760E-44
